Hari,Jam,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas
Rabu,13:00:00 - 13:50:00,Sistem Digital,1,3,ENDRA PRATAMA,R002,B,40
Rabu,13:55:00 - 14:45:00,Sistem Digital,1,3,ENDRA PRATAMA,R002,B,40
Rabu,15:30:00 - 16:20:00,Sistem Digital,1,3,ENDRA PRATAMA,R002,B,40
Rabu,10:15:00 - 11:05:00,Riset Operasi,5,2,BAMBANG HARJITO,R002,A,40
Rabu,11:10:00 - 12:00:00,Riset Operasi,5,2,BAMBANG HARJITO,R002,A,40
Rabu,07:30:00 - 08:20:00,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R002,B,40
Rabu,08:25:00 - 09:15:00,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R002,B,40
Rabu,13:00:00 - 13:50:00,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R003,B,30
Rabu,13:55:00 - 14:45:00,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R003,B,30
Rabu,15:30:00 - 16:20:00,Pemrograman Berorientasi Objek,3,3,AFRIZAL DOEWES,R003,B,30
Rabu,07:30:00 - 08:20:00,Pengolahan Citra Digital,5,3,HERDITO IBNU DEWANGKORO,R003,C,30
Rabu,08:25:00 - 09:15:00,Pengolahan Citra Digital,5,3,HERDITO IBNU DEWANGKORO,R003,C,30
Rabu,09:20:00 - 10:10:00,Pengolahan Citra Digital,5,3,HERDITO IBNU DEWANGKORO,R003,C,30
Rabu,10:15:00 - 11:05:00,Jaringan Komputer,3,3,WISNU WIDIARTO,R003,B,30
Rabu,11:10:00 - 12:00:00,Jaringan Komputer,3,3,WISNU WIDIARTO,R003,B,30
Rabu,10:15:00 - 11:05:00,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R004,D,25
Rabu,11:10:00 - 12:00:00,Sistem Operasi,3,3,HERDITO IBNU DEWANGKORO,R004,D,25
Rabu,07:30:00 - 08:20:00,Data Mining,5,3,WIRANTO,R004,B,25
Rabu,08:25:00 - 09:15:00,Data Mining,5,3,WIRANTO,R004,B,25
Rabu,09:20:00 - 10:10:00,Data Mining,5,3,WIRANTO,R004,B,25
Rabu,13:00:00 - 13:50:00,Data Mining,5,3,WIRANTO,R004,C,25
Rabu,13:55:00 - 14:45:00,Data Mining,5,3,WIRANTO,R004,C,25
Rabu,15:30:00 - 16:20:00,Data Mining,5,3,WIRANTO,R004,C,25
Rabu,10:15:00 - 11:05:00,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R005,C,25
Rabu,11:10:00 - 12:00:00,Sistem Digital,1,3,AKHMAD SYAIFUDDIN,R005,C,25
Rabu,13:00:00 - 13:50:00,Statistika & Probabilitas,1,3,ESTI SURYANI,R005,D,25
Rabu,13:55:00 - 14:45:00,Statistika & Probabilitas,1,3,ESTI SURYANI,R005,D,25
Rabu,15:30:00 - 16:20:00,Statistika & Probabilitas,1,3,ESTI SURYANI,R005,D,25
Rabu,07:30:00 - 08:20:00,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25
Rabu,08:25:00 - 09:15:00,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25
Rabu,09:20:00 - 10:10:00,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25
Rabu,07:30:00 - 08:20:00,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35
Rabu,08:25:00 - 09:15:00,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35
Rabu,09:20:00 - 10:10:00,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35
Rabu,13:00:00 - 13:50:00,Basis Data Lanjut,5,3,MUHAMMAD FAHMY NADHIF,R006,A,35
Rabu,13:55:00 - 14:45:00,Basis Data Lanjut,5,3,MUHAMMAD FAHMY NADHIF,R006,A,35
Rabu,15:30:00 - 16:20:00,Basis Data Lanjut,5,3,MUHAMMAD FAHMY NADHIF,R006,A,35
Rabu,10:15:00 - 11:05:00,Interaksi Manusia & Komputer,5,2,RINI ANGGRAININGSIH,R006,D,35
Rabu,11:10:00 - 12:00:00,Interaksi Manusia & Komputer,5,2,RINI ANGGRAININGSIH,R006,D,35
Rabu,15:30:00 - 16:20:00,Konsep Pemrograman,1,4,BAMBANG HARJITO,R007,A,20
Rabu,10:15:00 - 11:05:00,Metode Numerik,3,3,UMI SALAMAH,R007,A,20
Rabu,11:10:00 - 12:00:00,Metode Numerik,3,3,UMI SALAMAH,R007,A,20
Rabu,13:00:00 - 13:50:00,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,B,20
Rabu,13:55:00 - 14:45:00,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,B,20
Rabu,10:15:00 - 11:05:00,Sistem Operasi,3,3,HARYONO SETIADI,R008,B,45
Rabu,11:10:00 - 12:00:00,Sistem Operasi,3,3,HARYONO SETIADI,R008,B,45
Rabu,07:30:00 - 08:20:00,Basis Data,3,4,BAMBANG WIDOYONO,R008,C,45
Rabu,08:25:00 - 09:15:00,Basis Data,3,4,BAMBANG WIDOYONO,R008,C,45
Rabu,09:20:00 - 10:10:00,Basis Data,3,4,BAMBANG WIDOYONO,R008,C,45
Rabu,13:00:00 - 13:50:00,Teknologi IoT,7,3,ABDUL AZIZ,R008,A,45
Rabu,13:55:00 - 14:45:00,Teknologi IoT,7,3,ABDUL AZIZ,R008,A,45
Rabu,15:30:00 - 16:20:00,Teknologi IoT,7,3,ABDUL AZIZ,R008,A,45
Rabu,07:30:00 - 08:20:00,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R009,A,30
Rabu,08:25:00 - 09:15:00,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R009,A,30
Rabu,09:20:00 - 10:10:00,Pembelajaran Mesin,5,3,MUHAMMAD FAHMY NADHIF,R009,A,30
Rabu,10:15:00 - 11:05:00,Organisasi dan Arsitektur Komputer,1,3,BRILYAN HENDRASURYAWAN,R009,A,30
Rabu,11:10:00 - 12:00:00,Organisasi dan Arsitektur Komputer,1,3,BRILYAN HENDRASURYAWAN,R009,A,30
Rabu,13:00:00 - 13:50:00,Basis Pengetahuan dan Penalaran,5,3,DEWI WISNU WARDANI,R009,A,30
Rabu,13:55:00 - 14:45:00,Basis Pengetahuan dan Penalaran,5,3,DEWI WISNU WARDANI,R009,A,30
Rabu,15:30:00 - 16:20:00,Basis Pengetahuan dan Penalaran,5,3,DEWI WISNU WARDANI,R009,A,30
Rabu,16:25:00 - 17:15:00,Organisasi dan Arsitektur Komputer,1,3,BRILYAN HENDRASURYAWAN,R009,A,30
Rabu,18:10:00 - 19:00:00,Pendidikan Agama Katolik,1,2,VINSENSIUS KRISWIDIATMA TJAHJA H,R009,A,30
Rabu,19:30:00 - 20:20:00,Pendidikan Agama Katolik,1,2,VINSENSIUS KRISWIDIATMA TJAHJA H,R009,A,30
Rabu,07:30:00 - 08:20:00,Sistem Manajemen Basis Data,3,3,DEWI WISNU WARDANI,R010,A,30
Rabu,08:25:00 - 09:15:00,Sistem Manajemen Basis Data,3,3,DEWI WISNU WARDANI,R010,A,30
Rabu,09:20:00 - 10:10:00,Matematika Diskrit dan Teori Graph,3,3,ENDRA PRATAMA,R010,A,30
Rabu,10:15:00 - 11:05:00,Matematika Diskrit dan Teori Graph,3,3,ENDRA PRATAMA,R010,A,30
Rabu,11:10:00 - 12:00:00,Matematika Diskrit dan Teori Graph,3,3,ENDRA PRATAMA,R010,A,30
Rabu,13:00:00 - 13:50:00,Dasar Pemrograman,1,4,HASAN DWI CAHYONO,R010,B,30
Rabu,13:55:00 - 14:45:00,Dasar Pemrograman,1,4,HASAN DWI CAHYONO,R010,B,30
Rabu,15:30:00 - 16:20:00,Dasar Pemrograman,1,4,HASAN DWI CAHYONO,R010,B,30
Rabu,16:25:00 - 17:15:00,Dasar Pemrograman,1,4,HASAN DWI CAHYONO,R010,B,30
Kamis,10:15:00 - 11:05:00,Pendidikan Agama Islam,1,2,IRFAN A N,R001,A,25
Kamis,11:10:00 - 12:00:00,Pendidikan Agama Islam,1,2,IRFAN A N,R001,A,25
Kamis,13:00:00 - 13:50:00,Fisika,1,3,BUDI PURNAMA,R001,B,25
Kamis,13:55:00 - 14:45:00,Fisika,1,3,BUDI PURNAMA,R001,B,25
Kamis,15:30:00 - 16:20:00,Fisika,1,3,BUDI PURNAMA,R001,B,25
Kamis,07:30:00 - 08:20:00,Fisika ( Team Teaching ),1,3,AGUS SUPRIYANTO + LUTHFIYA KURNIA PERMATAHATI,R001,C,25
