Hari,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas,start,finish,duration,jumlah_mahasiswa,profit_density
Rabu,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25,08:25:00,09:15:00,50.0,24,0.06
Rabu,Komputasi Grid,5,3,WISNU WIDIARTO,R005,A,25,09:20:00,10:10:00,50.0,20,0.06
Rabu,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35,07:30:00,08:20:00,50.0,35,0.06
Rabu,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35,08:25:00,09:15:00,50.0,22,0.06
Rabu,Kalkulus I,1,3,MIRA ANDRIYANI,R006,C,35,09:20:00,10:10:00,50.0,33,0.06
Rabu,Basis Data Lanjut,5,3,MUHAMMAD FAHMY NADHIF,R006,A,35,13:00:00,13:50:00,50.0,30,0.06
Rabu,Basis Data Lanjut,5,3,MUHAMMAD FAHMY NADHIF,R006,A,35,13:55:00,14:45:00,50.0,30,0.06
Rabu,Basis Data Lanjut,5,3,MUHAMMAD FAHMY NADHIF,R006,A,35,15:30:00,16:20:00,50.0,33,0.06
Rabu,Interaksi Manusia & Komputer,5,2,RINI ANGGRAININGSIH,R006,D,35,10:15:00,11:05:00,50.0,25,0.04
Rabu,Interaksi Manusia & Komputer,5,2,RINI ANGGRAININGSIH,R006,D,35,11:10:00,12:00:00,50.0,20,0.04
Rabu,Konsep Pemrograman,1,4,BAMBANG HARJITO,R007,A,20,15:30:00,16:20:00,50.0,9,0.08
Rabu,Metode Numerik,3,3,UMI SALAMAH,R007,A,20,10:15:00,11:05:00,50.0,10,0.06
Rabu,Metode Numerik,3,3,UMI SALAMAH,R007,A,20,11:10:00,12:00:00,50.0,8,0.06
Rabu,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,B,20,13:00:00,13:50:00,50.0,12,0.04
Rabu,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,B,20,13:55:00,14:45:00,50.0,8,0.04
Rabu,Sistem Operasi,3,3,HARYONO SETIADI,R008,B,45,10:15:00,11:05:00,50.0,41,0.06
Rabu,Sistem Operasi,3,3,HARYONO SETIADI,R008,B,45,11:10:00,12:00:00,50.0,34,0.06
Rabu,Basis Data,3,4,BAMBANG WIDOYONO,R008,C,45,07:30:00,08:20:00,50.0,44,0.08
